=== en-de ===
family |  |  | Nomen | die Familie | My family lives in Switzerland. | Meine Familie lebt in der Schweiz. | Her family eats dinner together. | Ihre Familie isst gemeinsam zu Abend. | ˈfæməli
as calças |  | f pl | Nomen | die Hose | Estas calças são demasiado pequenas. | Diese Hose ist zu klein. | As suas calças são novas e azuis. | Seine Hose ist neu und blau. | ˈkalsɐʃ
a camisa |  | f | Nomen | das Hemd | A sua camisa é branca. | Sein Hemd ist weiss. | Procuro uma camisa nova. | Ich suche ein neues Hemd. | kɐˈmizɐ
o sapato |  | m | Nomen | der Schuh | Este sapato é demasiado grande. | Dieser Schuh ist zu gross. | O meu sapato está debaixo da cama. | Mein Schuh liegt unter dem Bett. | sɐˈpatu
o casaco |  | m | Nomen | die Jacke | O seu casaco está na cadeira. | Ihre Jacke liegt auf dem Stuhl. | Uso um casaco quente. | Ich trage eine warme Jacke. | kɐˈzaku
o cão | o cão, os cães | m | Nomen | der Hund | O cão corre pelo jardim. | Der Hund rennt durch den Garten. | O nosso cão bebe água. | Unser Hund trinkt Wasser. | ˈkɐ̃w̃
o gato |  | m | Nomen | die Katze | O gato dorme na minha cama. | Die Katze schläft auf meinem Bett. | O nosso gato tem olhos verdes. | Unsere Katze hat grüne Augen. | ˈɡatu
o cavalo |  | m | Nomen | das Pferd | O cavalo come uma maçã. | Das Pferd frisst einen Apfel. | O seu cavalo corre muito depressa. | Ihr Pferd rennt sehr schnell. | kɐˈvalu
o pássaro |  | m | Nomen | der Vogel | Um pássaro está na árvore. | Ein Vogel sitzt im Baum. | O pássaro tem penas azuis. | Der Vogel hat blaue Federn. | ˈpasaɾu
a árvore |  | f | Nomen | der Baum | Esta árvore é muito velha. | Dieser Baum ist sehr alt. | Um pássaro canta na árvore. | Ein Vogel singt im Baum. | ˈaɾvuɾɨ
a flor |  | f | Nomen | die Blume | Esta flor é muito bonita. | Diese Blume ist sehr schön. | Ela segura uma flor vermelha. | Sie hält eine rote Blume. | ˈfloɾ
o sol |  | m | Nomen | die Sonne | O sol brilha hoje. | Die Sonne scheint heute. | Sentamo-nos ao sol. | Wir setzen uns in die Sonne. | ˈsɔl
a chuva |  | f | Nomen | der Regen | A chuva começa esta manhã. | Der Regen beginnt heute Morgen. | Brincamos lá fora depois da chuva. | Wir spielen nach dem Regen draussen. | ˈʃuvɐ
a cidade |  | f | Nomen | die Stadt | Esta cidade tem uma estação grande. | Diese Stadt hat einen grossen Bahnhof. | Os meus avós vivem na cidade. | Meine Grosseltern wohnen in der Stadt. | siˈðaðɨ
a rua |  | f | Nomen | die Strasse | A nossa escola fica nesta rua. | Unsere Schule liegt in dieser Strasse. | A rua está muito calma hoje. | Die Strasse ist heute sehr ruhig. | ˈʁuɐ
a estação |  | f | Nomen | der Bahnhof | O comboio espera na estação. | Der Zug wartet am Bahnhof. | Caminhamos até à estação. | Wir gehen zu Fuss zum Bahnhof. | ɨʃtɐˈsɐ̃w̃
o carro |  | m | Nomen | das Auto | O nosso carro é muito velho. | Unser Auto ist sehr alt. | A minha mãe conduz o carro. | Meine Mutter fährt das Auto. | ˈkaʁu
o comboio |  | m | Nomen | der Zug | O comboio chega às dez. | Der Zug kommt um zehn Uhr an. | Vamos para a escola de comboio. | Wir fahren mit dem Zug zur Schule. | kõˈboju
a loja |  | f | Nomen | das Geschäft | A loja abre às oito. | Das Geschäft öffnet um acht Uhr. | Compro pão na loja. | Ich kaufe Brot im Geschäft. | ˈlɔʒɐ
ser | ser: sou, és, é |  | Verb | sein | Quero ser professor. | Ich möchte Lehrer sein. | A minha irmã é muito simpática. | Meine Schwester ist sehr nett. | ˈseɾ
ter | ter: tenho, tens, tem |  | Verb | haben | Tenho um livro novo. | Ich habe ein neues Buch. | Eles têm dois filhos. | Sie haben zwei Kinder. | ˈteɾ
ir | ir: vou, vais, vai |  | Verb | gehen | Vamos juntos para a escola. | Wir gehen gemeinsam zur Schule. | Vou agora à loja. | Ich gehe jetzt ins Geschäft. | ˈiɾ
vir | vir: venho, vens, vem |  | Verb | kommen | Os meus amigos vêm a nossa casa. | Meine Freunde kommen zu unserem Haus. | Vem para casa amanhã. | Komm morgen nach Hause. | ˈviɾ
fazer | fazer: faço, fazes, faz |  | Verb | machen | Fazemos o pequeno-almoço juntos. | Wir machen gemeinsam das Frühstück. | Os alunos fazem um desenho grande. | Die Schüler machen eine grosse Zeichnung. | fɐˈzeɾ
dizer | dizer: digo, dizes, diz |  | Verb | sagen | Diz o teu nome lentamente. | Sag deinen Namen langsam. | Eles dizem a resposta juntos. | Sie sagen die Antwort gemeinsam. | diˈzeɾ
ver | ver: vejo, vês, vê |  | Verb | sehen | Vejo um pássaro lá fora. | Ich sehe draussen einen Vogel. | Vemos os nossos amigos na escola. | Wir sehen unsere Freunde in der Schule. | ˈveɾ
comer |  |  | Verb | essen | Comemos às sete. | Wir essen um sieben Uhr. | As crianças comem pão e queijo. | Die Kinder essen Brot und Käse. | kuˈmeɾ
beber |  |  | Verb | trinken | Bebo água todos os dias. | Ich trinke jeden Tag Wasser. | Eles bebem leite de manhã. | Sie trinken morgens Milch. | bɨˈbeɾ
aprender |  |  | Verb | lernen | Aprendemos português na escola. | Wir lernen in der Schule Portugiesisch. | Aprendo dez palavras novas. | Ich lerne zehn neue Wörter. | ɐpɾẽˈdeɾ
brincar |  |  | Verb | spielen | As crianças brincam no jardim. | Die Kinder spielen im Garten. | Brinco com o meu amigo. | Ich spiele mit meinem Freund. | bɾĩˈkaɾ
morar |  |  | Verb | wohnen | Moramos perto da estação. | Wir wohnen nahe beim Bahnhof. | Os meus avós moram na cidade. | Meine Grosseltern wohnen in der Stadt. | muˈɾaɾ
grande |  |  | Adjektiv | gross | A casa deles é muito grande. | Ihr Haus ist sehr gross. | Ele tem um cão grande. | Er hat einen grossen Hund. | ˈɡɾɐ̃dɨ
pequeno |  |  | Adjektiv | klein | O meu quarto é muito pequeno. | Mein Zimmer ist sehr klein. | Ela tem um gato pequeno. | Sie hat eine kleine Katze. | pɨˈkenu
bom |  |  | Adjektiv | gut | Esta sopa está muito boa. | Diese Suppe ist sehr gut. | Ele é um bom professor. | Er ist ein guter Lehrer. | ˈbõ
mau |  |  | Adjektiv | schlecht | O tempo está mau hoje. | Das Wetter ist heute schlecht. | Esta é uma resposta má. | Das ist eine schlechte Antwort. | ˈmaw
novo |  |  | Adjektiv | neu | A minha irmã tem um livro novo. | Meine Schwester hat ein neues Buch. | Vivemos numa casa nova. | Wir wohnen in einem neuen Haus. | ˈnovu
velho |  |  | Adjektiv | alt | O meu avô tem um cão velho. | Mein Grossvater hat einen alten Hund. | Esta árvore é muito velha. | Dieser Baum ist sehr alt. | ˈvɛʎu
=== la-de ===
familia | familia, familiae f | f | Nomen | die Familie | Familia in villa habitat. | Die Familie wohnt im Landhaus. | Familia mea magna est. | Meine Familie ist gross. | familia
mater | mater, matris f | f | Nomen | die Mutter | Mater filiam amat. | Die Mutter liebt ihre Tochter. | Mater cenam in culina parat. | Die Mutter bereitet in der Küche das Abendessen zu. | māter
pater | pater, patris m | m | Nomen | der Vater | Pater librum legit. | Der Vater liest ein Buch. | Pater cum filio ambulat. | Der Vater geht mit seinem Sohn spazieren. | pater
parentes | parentes, parentum m pl | m pl | Nomen | die Eltern | Parentes liberos vocant. | Die Eltern rufen ihre Kinder. | Parentes hodie domi manent. | Die Eltern bleiben heute zu Hause. | parentēs
soror | soror, sororis f | f | Nomen | die Schwester | Soror mea cantat. | Meine Schwester singt. | Puer sororem in horto videt. | Der Junge sieht seine Schwester im Garten. | soror
frater | frater, fratris m | m | Nomen | der Bruder | Frater meus advenit. | Mein Bruder kommt an. | Puella cum fratre ludit. | Das Mädchen spielt mit ihrem Bruder. | frāter
avia | avia, aviae f | f | Nomen | die Grossmutter | Avia fabulam puellae narrat. | Die Grossmutter erzählt dem Mädchen eine Geschichte. | Avia in villa habitat. | Die Grossmutter wohnt im Landhaus. | avia
avus | avus, avi m | m | Nomen | der Grossvater | Avus in horto laborat. | Der Grossvater arbeitet im Garten. | Puer avum saepe visitat. | Der Junge besucht seinen Grossvater oft. | avus
filia | filia, filiae f | f | Nomen | die Tochter | Filia matrem adiuvat. | Die Tochter hilft ihrer Mutter. | Filia cum amica ludit. | Die Tochter spielt mit einer Freundin. | fīlia
filius | filius, filii m | m | Nomen | der Sohn | Filius patrem audit. | Der Sohn hört auf seinen Vater. | Mater filium ad scholam ducit. | Die Mutter führt ihren Sohn zur Schule. | fīlius
puer | puer, pueri m | m | Nomen | der Junge | Puer in via currit. | Der Junge rennt auf der Strasse. | Puer magistrum salutat. | Der Junge grüsst den Lehrer. | puer
puella | puella, puellae f | f | Nomen | das Mädchen | Puella rosam portat. | Das Mädchen trägt eine Rose. | Puella linguam Latinam discit. | Das Mädchen lernt Latein. | puella
vir | vir, viri m | m | Nomen | der Mann | Vir in foro stat. | Der Mann steht auf dem Forum. | Vir bonus civem adiuvat. | Der gute Mann hilft einem Bürger. | vir
amicus | amicus, amici m | m | Nomen | der Freund | Amicus meus hodie venit. | Mein Freund kommt heute. | Puer amicum in via videt. | Der Junge sieht seinen Freund auf der Strasse. | amīcus
schola | schola, scholae f | f | Nomen | die Schule | Schola prope forum est. | Die Schule liegt nahe beim Forum. | Discipuli ad scholam currunt. | Die Schüler rennen zur Schule. | schola
magister | magister, magistri m | m | Nomen | der Lehrer | Magister discipulos docet. | Der Lehrer unterrichtet die Schüler. | Magister in tabula scribit. | Der Lehrer schreibt auf die Tafel. | magister
discipulus | discipulus, discipuli m | m | Nomen | der Schüler | Discipulus librum aperit. | Der Schüler öffnet das Buch. | Magister discipulum laudat. | Der Lehrer lobt den Schüler. | discipulus
liber | liber, libri m | m | Nomen | das Buch | Liber in mensa iacet. | Das Buch liegt auf dem Tisch. | Puer librum diligenter legit. | Der Junge liest das Buch aufmerksam. | līber
tabula | tabula, tabulae f | f | Nomen | die Tafel | Tabula in schola est. | Die Tafel ist in der Schule. | Magister verba in tabula scribit. | Der Lehrer schreibt Wörter auf die Tafel. | tabula
lingua | lingua, linguae f | f | Nomen | die Sprache | Lingua Latina antiqua est. | Die lateinische Sprache ist alt. | Discipuli linguam libenter discunt. | Die Schüler lernen die Sprache gern. | lingua
domus | domus, domus f | f | Nomen | das Haus | Domus in urbe est. | Das Haus steht in der Stadt. | Pater vesperi domum venit. | Der Vater kommt am Abend nach Hause. | domus
villa | villa, villae f | f | Nomen | das Landhaus | Villa magnum hortum habet. | Das Landhaus hat einen grossen Garten. | Familia in villa cenat. | Die Familie isst im Landhaus zu Abend. | vīlla
cubiculum | cubiculum, cubiculi n | n | Nomen | das Zimmer | Cubiculum parvam fenestram habet. | Das Zimmer hat ein kleines Fenster. | Puer in cubiculo dormit. | Der Junge schläft im Zimmer. | cubiculum
ianua | ianua, ianuae f | f | Nomen | die Tür | Ianua villae aperta est. | Die Tür des Landhauses ist offen. | Servus ianuam claudit. | Der Sklave schliesst die Tür. | iānua
fenestra | fenestra, fenestrae f | f | Nomen | das Fenster | Fenestra lucem in cubiculum mittit. | Das Fenster lässt Licht ins Zimmer. | Puella fenestram aperit. | Das Mädchen öffnet das Fenster. | fenestra
lectus | lectus, lecti m | m | Nomen | das Bett | Lectus in cubiculo est. | Das Bett steht im Zimmer. | Puer in lecto dormit. | Der Junge schläft im Bett. | lectus
culina | culina, culinae f | f | Nomen | die Küche | Culina prope atrium est. | Die Küche liegt nahe beim Innenhof. | Mater in culina cenam parat. | Die Mutter bereitet in der Küche das Abendessen zu. | culīna
hortus | hortus, horti m | m | Nomen | der Garten | Hortus multas rosas habet. | Der Garten hat viele Rosen. | Pueri in horto ludunt. | Die Jungen spielen im Garten. | hortus
atrium | atrium, atrii n | n | Nomen | der Innenhof | Atrium in media domo est. | Der Innenhof liegt in der Mitte des Hauses. | Familia in atrio sedet. | Die Familie sitzt im Innenhof. | ātrium
ager | ager, agri m | m | Nomen | das Feld | Ager prope villam est. | Das Feld liegt nahe beim Landhaus. | Agricola agrum diligenter arat. | Der Bauer pflügt das Feld sorgfältig. | ager
urbs | urbs, urbis f | f | Nomen | die Stadt | Urbs magna muros habet. | Die grosse Stadt hat Mauern. | Multi cives in urbe habitant. | Viele Bürger wohnen in der Stadt. | urbs
via | via, viae f | f | Nomen | die Strasse | Via ad forum ducit. | Die Strasse führt zum Forum. | Milites per viam currunt. | Die Soldaten rennen durch die Strasse. | via
forum | forum, fori n | n | Nomen | das Forum | Forum in media urbe est. | Das Forum liegt in der Stadtmitte. | Multi cives in foro sunt. | Viele Bürger sind auf dem Forum. | forum
templum | templum, templi n | n | Nomen | der Tempel | Templum prope forum stat. | Der Tempel steht nahe beim Forum. | Romani templum deorum intrant. | Die Römer betreten den Tempel der Götter. | templum
curia | curia, curiae f | f | Nomen | das Rathaus | Curia prope forum stat. | Das Rathaus steht nahe beim Forum. | Consules in curia disputant. | Die Konsuln beraten im Rathaus. | cūria
populus | populus, populi m | m | Nomen | das Volk | Populus pacem desiderat. | Das Volk wünscht Frieden. | Consul populum Romanum salutat. | Der Konsul grüsst das römische Volk. | populus
civis | civis, civis m | m | Nomen | der Bürger | Civis in foro clamat. | Der Bürger ruft auf dem Forum. | Rex civem Romanum audit. | Der König hört den römischen Bürger an. | cīvis
res publica | res publica, rei publicae f | f | Nomen | der Staat | Res publica leges habet. | Der Staat hat Gesetze. | Cives rem publicam defendunt. | Die Bürger verteidigen den Staat. | rēs pūblica
rex | rex, regis m | m | Nomen | der König | Rex in magna villa habitat. | Der König wohnt in einem grossen Landhaus. | Populus regem non amat. | Das Volk liebt den König nicht. | rēx
consul | consul, consulis m | m | Nomen | der Konsul | Consul in curia loquitur. | Der Konsul spricht im Rathaus. | Cives consulem diligenter audiunt. | Die Bürger hören dem Konsul aufmerksam zu. | cōnsul
bellum | bellum, belli n | n | Nomen | der Krieg | Bellum longum est. | Der Krieg dauert lange. | Romani bellum contra hostes gerunt. | Die Römer führen Krieg gegen ihre Feinde. | bellum
miles | miles, militis m | m | Nomen | der Soldat | Miles gladio pugnat. | Der Soldat kämpft mit dem Schwert. | Dux militem fortem laudat. | Der Feldherr lobt den tapferen Soldaten. | mīles
exercitus | exercitus, exercitus m | m | Nomen | das Heer | Exercitus ad urbem venit. | Das Heer kommt zur Stadt. | Dux exercitum per agros ducit. | Der Feldherr führt das Heer durch die Felder. | exercitus
dux | dux, ducis m | m | Nomen | der Feldherr | Dux milites ad bellum ducit. | Der Feldherr führt die Soldaten in den Krieg. | Exercitus ducem fortem sequitur. | Das Heer folgt dem tapferen Feldherrn. | dux
gladius | gladius, gladii m | m | Nomen | das Schwert | Gladius militis longus est. | Das Schwert des Soldaten ist lang. | Miles gladium in manu tenet. | Der Soldat hält das Schwert in der Hand. | gladius
arma | arma, armorum n pl | n pl | Nomen | die Waffen | Arma militum in castris sunt. | Die Waffen der Soldaten sind im Lager. | Romani arma contra hostes portant. | Die Römer tragen Waffen gegen ihre Feinde. | arma
castra | castra, castrorum n pl | n pl | Nomen | das Lager | Castra prope urbem sunt. | Das Lager liegt nahe bei der Stadt. | Milites castra magna defendunt. | Die Soldaten verteidigen das grosse Lager. | castra
hostis | hostis, hostis m | m | Nomen | der Feind | Hostis ad castra venit. | Der Feind kommt zum Lager. | Miles hostem gladio vincit. | Der Soldat besiegt den Feind mit dem Schwert. | hostis
deus | deus, dei m | m | Nomen | der Gott | Deus homines saepe adiuvat. | Der Gott hilft den Menschen oft. | Romani deum in templo colunt. | Die Römer verehren den Gott im Tempel. | deus
dea | dea, deae f | f | Nomen | die Göttin | Dea templum in urbe habet. | Die Göttin hat einen Tempel in der Stadt. | Puella deae rosam dat. | Das Mädchen gibt der Göttin eine Rose. | dea
sacerdos | sacerdos, sacerdotis m | m | Nomen | der Priester | Sacerdos deae sacrificium parat. | Der Priester bereitet der Göttin ein Opfer vor. | Cives sacerdotem in templo audiunt. | Die Bürger hören den Priester im Tempel. | sacerdōs
sacrificium | sacrificium, sacrificii n | n | Nomen | das Opfer | Sacrificium in templo fit. | Das Opfer findet im Tempel statt. | Sacerdos sacrificium deis offert. | Der Priester bringt den Göttern ein Opfer dar. | sacrificium
fabula | fabula, fabulae f | f | Nomen | die Erzählung | Avia fabulam antiquam narrat. | Die Grossmutter erzählt eine alte Geschichte. | Discipuli fabulam de deis legunt. | Die Schüler lesen eine Erzählung über die Götter. | fābula
fatum | fatum, fati n | n | Nomen | das Schicksal | Fatum homines regit. | Das Schicksal lenkt die Menschen. | Nemo fatum suum cognoscit. | Niemand kennt sein Schicksal. | fātum
sol | sol, solis m | m | Nomen | die Sonne | Sol super urbem lucet. | Die Sonne scheint über der Stadt. | Agricola solem in agro videt. | Der Bauer sieht die Sonne auf dem Feld. | sōl
luna | luna, lunae f | f | Nomen | der Mond | Luna nocte lucet. | Der Mond scheint in der Nacht. | Puella lunam per fenestram videt. | Das Mädchen sieht den Mond durch das Fenster. | lūna
terra | terra, terrae f | f | Nomen | die Erde | Terra aquam accipit. | Die Erde nimmt Wasser auf. | Agricola terram diligenter arat. | Der Bauer pflügt die Erde sorgfältig. | terra
aqua | aqua, aquae f | f | Nomen | das Wasser | Aqua in flumine fluit. | Das Wasser fliesst im Fluss. | Puer aquam frigidam bibit. | Der Junge trinkt kaltes Wasser. | aqua
flumen | flumen, fluminis n | n | Nomen | der Fluss | Flumen prope urbem fluit. | Der Fluss fliesst nahe bei der Stadt. | Milites flumen transire volunt. | Die Soldaten wollen den Fluss überqueren. | flūmen
mons | mons, montis m | m | Nomen | der Berg | Mons procul altus est. | Der Berg in der Ferne ist hoch. | Milites ad montem pergunt. | Die Soldaten ziehen zum Berg. | mōns
equus | equus, equi m | m | Nomen | das Pferd | Equus per agrum currit. | Das Pferd rennt über das Feld. | Miles equum ad flumen ducit. | Der Soldat führt das Pferd zum Fluss. | equus
canis | canis, canis m | m | Nomen | der Hund | Canis in horto ludit. | Der Hund spielt im Garten. | Puer canem suum vocat. | Der Junge ruft seinen Hund. | canis
caput | caput, capitis n | n | Nomen | der Kopf | Puer caput movet. | Der Junge bewegt den Kopf. | Miles galeam in capite habet. | Der Soldat trägt einen Helm auf dem Kopf. | caput
manus | manus, manus f | f | Nomen | die Hand | Puella rosam manu tenet. | Das Mädchen hält eine Rose in der Hand. | Miles gladium e manu mittit. | Der Soldat lässt das Schwert aus der Hand fallen. | manus
oculus | oculus, oculi m | m | Nomen | das Auge | Oculus pueri dolet. | Das Auge des Jungen schmerzt. | Puella oculos lente claudit. | Das Mädchen schliesst langsam die Augen. | oculus
pes | pes, pedis m | m | Nomen | der Fuss | Pes militis dolet. | Der Fuss des Soldaten schmerzt. | Puer pedem in aqua habet. | Der Junge hat den Fuss im Wasser. | pēs
cor | cor, cordis n | n | Nomen | das Herz | Cor militis celeriter pulsat. | Das Herz des Soldaten schlägt schnell. | Timor cor puellae movet. | Die Angst bewegt das Herz des Mädchens. | cor
corpus | corpus, corporis n | n | Nomen | der Körper | Corpus hominis dormit. | Der Körper des Menschen schläft. | Aqua corpus pueri refrigerat. | Das Wasser kühlt den Körper des Jungen. | corpus
dies | dies, diei m | m | Nomen | der Tag | Dies longus est. | Der Tag ist lang. | Puer totum diem laborat. | Der Junge arbeitet den ganzen Tag. | diēs
nox | nox, noctis f | f | Nomen | die Nacht | Nox obscura est. | Die Nacht ist dunkel. | Milites nocte castra defendunt. | Die Soldaten verteidigen nachts das Lager. | nox
hora | hora, horae f | f | Nomen | die Stunde | Hora celeriter transit. | Die Stunde vergeht schnell. | Discipuli unam horam discunt. | Die Schüler lernen eine Stunde lang. | hōra
annus | annus, anni m | m | Nomen | das Jahr | Annus duodecim menses habet. | Das Jahr hat zwölf Monate. | Familia multos annos ibi habitat. | Die Familie wohnt seit vielen Jahren dort. | annus
locus | locus, loci m | m | Nomen | der Ort | Locus prope flumen est. | Der Ort liegt nahe beim Fluss. | Dux locum castris eligit. | Der Feldherr wählt einen Ort für das Lager. | locus
tempus | tempus, temporis n | n | Nomen | die Zeit | Tempus celeriter fugit. | Die Zeit vergeht schnell. | Discipulus multum temporis habet. | Der Schüler hat viel Zeit. | tempus
esse | sum, esse, fui, futurus |  | Verb | sein | Puer in horto est. | Der Junge ist im Garten. | Cives Romani fortes sunt. | Die römischen Bürger sind tapfer. | esse
habere | habeo, habere, habui, habitum |  | Verb | haben | Villa magnum hortum habet. | Das Landhaus hat einen grossen Garten. | Discipuli multos libros habent. | Die Schüler haben viele Bücher. | habēre
ire | eo, ire, ii, itum |  | Verb | gehen | Puella ad scholam it. | Das Mädchen geht zur Schule. | Cives per forum eunt. | Die Bürger gehen über das Forum. | īre
venire | venio, venire, veni, ventum |  | Verb | kommen | Amicus hodie venit. | Der Freund kommt heute. | Milites ad castra veniunt. | Die Soldaten kommen zum Lager. | venīre
facere | facio, facere, feci, factum |  | Verb | machen | Mater cenam facit. | Die Mutter macht das Abendessen. | Discipuli magnum opus faciunt. | Die Schüler machen eine grosse Arbeit. | facere
dicere | dico, dicere, dixi, dictum |  | Verb | sagen | Magister verba Latina dicit. | Der Lehrer sagt lateinische Wörter. | Puella amico verum dicit. | Das Mädchen sagt ihrem Freund die Wahrheit. | dīcere
videre | video, videre, vidi, visum |  | Verb | sehen | Puer equum in agro videt. | Der Junge sieht ein Pferd auf dem Feld. | Milites urbem procul vident. | Die Soldaten sehen die Stadt in der Ferne. | vidēre
dare | do, dare, dedi, datum |  | Verb | geben | Mater filiae librum dat. | Die Mutter gibt ihrer Tochter ein Buch. | Puella amico rosam dat. | Das Mädchen gibt seinem Freund eine Rose. | dare
amare | amo, amare, amavi, amatum |  | Verb | lieben | Mater liberos suos amat. | Die Mutter liebt ihre Kinder. | Puer puellam valde amat. | Der Junge liebt das Mädchen sehr. | amāre
audire | audio, audire, audivi, auditum |  | Verb | hören | Discipulus magistrum diligenter audit. | Der Schüler hört dem Lehrer aufmerksam zu. | Puella canem in horto audit. | Das Mädchen hört den Hund im Garten. | audīre
magnus | magnus, magna, magnum |  | Adjektiv | gross | Urbs magna multos cives habet. | Die grosse Stadt hat viele Bürger. | Puer magnum equum videt. | Der Junge sieht ein grosses Pferd. | magnus
parvus | parvus, parva, parvum |  | Adjektiv | klein | Puella parvam rosam tenet. | Das Mädchen hält eine kleine Rose. | Cubiculum parvum fenestram habet. | Das kleine Zimmer hat ein Fenster. | parvus
bonus | bonus, bona, bonum |  | Adjektiv | gut | Magister bonus discipulos laudat. | Der gute Lehrer lobt die Schüler. | Puella bonum librum legit. | Das Mädchen liest ein gutes Buch. | bonus
malus | malus, mala, malum |  | Adjektiv | schlecht | Rex malus populum terret. | Der schlechte König erschreckt das Volk. | Discipulus malum responsum dat. | Der Schüler gibt eine schlechte Antwort. | malus
novus | novus, nova, novum |  | Adjektiv | neu | Familia novam domum habet. | Die Familie hat ein neues Haus. | Discipulus librum novum aperit. | Der Schüler öffnet ein neues Buch. | novus
antiquus | antiquus, antiqua, antiquum |  | Adjektiv | alt | Templum antiquum prope forum stat. | Der alte Tempel steht nahe beim Forum. | Avia fabulam antiquam narrat. | Die Grossmutter erzählt eine alte Geschichte. | antīquus
longus | longus, longa, longum |  | Adjektiv | lang | Via longa ad urbem ducit. | Die lange Strasse führt zur Stadt. | Miles gladium longum portat. | Der Soldat trägt ein langes Schwert. | longus
brevis | brevis, breve |  | Adjektiv | kurz | Fabula brevis discipulis placet. | Die kurze Geschichte gefällt den Schülern. | Tempus breve celeriter fugit. | Die kurze Zeit vergeht schnell. | brevis
fortis | fortis, forte |  | Adjektiv | tapfer | Miles fortis castra defendit. | Der tapfere Soldat verteidigt das Lager. | Dux exercitum fortem laudat. | Der Feldherr lobt das tapfere Heer. | fortis
felix | felix, felicis |  | Adjektiv | glücklich | Puella felix in horto ludit. | Das glückliche Mädchen spielt im Garten. | Familia felicem diem agit. | Die Familie verbringt einen glücklichen Tag. | fēlix
unus | unus, una, unum |  | Zahlwort | eins | Unus puer in schola manet. | Ein Junge bleibt in der Schule. | Puella unum librum habet. | Das Mädchen hat ein Buch. | ūnus
duo | duo, duae, duo |  | Zahlwort | zwei | Duo milites castra defendunt. | Zwei Soldaten verteidigen das Lager. | Mater duas filias habet. | Die Mutter hat zwei Töchter. | duō
tres | tres, tria |  | Zahlwort | drei | Tres pueri in horto ludunt. | Drei Jungen spielen im Garten. | Discipulus tria verba scribit. | Der Schüler schreibt drei Wörter. | trēs
decem |  |  | Zahlwort | zehn | Decem discipuli magistrum audiunt. | Zehn Schüler hören dem Lehrer zu. | Villa decem fenestras habet. | Das Landhaus hat zehn Fenster. | decem
hodie |  |  | Adverb | heute | Amicus hodie advenit. | Der Freund kommt heute an. | Hodie discipuli linguam Latinam discunt. | Heute lernen die Schüler Latein. | hodiē
saepe |  |  | Adverb | oft | Puer saepe in horto ludit. | Der Junge spielt oft im Garten. | Avia saepe fabulas narrat. | Die Grossmutter erzählt oft Geschichten. | saepe
